Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,20.322,20.322,wifi radio,7.295516712
20.322,112.489,92.167,wifi running,1.0894692402
112.489,112.489,0.0,wifi radio,0.0
0.0,5.671387,5.671387,core 0 cpu_idle start,0.138547674156
0.0,5.671567,5.671567,core 1 cpu_idle start,0.138552071419
0.0,5.686623,5.686623,core 2 cpu_idle start,0.138919878057
0.0,5.672086,5.672086,core 3 cpu_idle start,0.138564750195
0.0,8.385925,8.385925,core 4 cpu_idle start,0.204861774447
0.0,10.417753,10.417753,core 5 cpu_idle start,0.254497788298
0.0,10.417767,10.417767,core 6 cpu_idle start,0.254498130307
0.0,10.417778,10.417778,core 7 cpu_idle start,0.254498399029
